"filename", "language", "Properties", "JavaScript", "Markdown", "JSON", "YAML", "HTML", "Stylus", "CSS", "Vue", "comment", "blank", "total"
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/package.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 0, 36, 1, 52
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/css/1.e6bc587c.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/css/2.e9d9738c.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/demo.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.common.1.js", "JavaScript", 0, 1825, 0, 0, 0, 0, 0, 0, 0, 439, 532, 2796
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.common.2.js", "JavaScript", 0, 305, 0, 0, 0, 0, 0, 0, 0, 181, 96, 582
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.common.js", "JavaScript", 0, 1723, 0, 0, 0, 0, 0, 0, 0, 208, 482, 2413
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.1.js", "JavaScript", 0, 1825, 0, 0, 0, 0, 0, 0, 0, 439, 532, 2796
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.2.js", "JavaScript", 0, 305, 0, 0, 0, 0, 0, 0, 0, 181, 96, 582
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.js", "JavaScript", 0, 1733, 0, 0, 0, 0, 0, 0, 0, 208, 482, 2423
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.min.1.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.min.2.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
